city,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
leh,34.1667,77.5833,266.87,62,0,0.69,IN,1612680854
husavik,66.0449,-17.3389,274.15,69,90,1.54,IS,1612680855
aripuana,-9.1667,-60.6333,295.62,99,100,0.9,BR,1612680855
davila,18.4726,120.5763,304.15,70,75,5.14,PH,1612680855
umm lajj,25.0213,37.2685,294.84,42,0,6.91,SA,1612680855
mantua,45.1667,10.7833,282.59,95,100,4.47,IT,1612680856
saiha,22.4833,92.9667,299.27,18,0,2.94,IN,1612680856
marawi,7.9986,124.2928,300.37,86,100,0.89,PH,1612680856
bonthe,7.5264,-12.505,297.27,87,4,0.5,SL,1612680856
cartagena del chaira,1.3349,-74.8429,295.52,97,88,0.74,CO,1612680697
izhma,65.0083,53.9113,237.78,82,100,4.46,RU,1612680857
fortuna,40.5982,-124.1573,282.04,93,90,2.57,US,1612680857
santa lucia,27.9117,-15.5407,289.26,77,40,3.09,ES,1612680858
fayetteville,35.0527,-78.8784,277.15,87,90,3.6,US,1612680652
roald,62.5833,6.1333,267.15,58,0,4.12,NO,1612680858
port keats,-14.25,129.55,303.55,69,84,2.84,AU,1612680858
vaitape,-16.5167,-151.75,301.26,67,31,3.57,PF,1612680858
lavrentiya,65.5833,-171.0,248.72,78,0,0.66,RU,1612680830
guerrero negro,27.9769,-114.0611,288.5,67,1,2.12,MX,1612680859
alice springs,-23.7,133.8833,307.04,18,2,5.66,AU,1612680859
adrar,20.5022,-10.0711,283.07,51,26,4.56,MR,1612680859
nanortalik,60.1432,-45.2371,271.42,91,28,0.58,GL,1612680826
mehran,33.1222,46.1646,283.15,76,75,0.92,IR,1612680860
salalah,17.0151,54.0924,298.15,61,75,3.09,OM,1612680860
black river,18.0264,-77.8487,298.15,73,20,2.06,JM,1612680860
